CDO_jnj_global_prod - d4614a6f-c912-456a-89a6-dd3250a6ee0e,Processing Time UTC,Time Interval,Event Count,dummy
s482,2025-08-25 08:18,0.00s,170585,s482
s483,2025-08-25 08:18,1.00s,185032,s483
s484,2025-08-25 08:18,35.00s,58226,s484
s485,2025-08-25 08:17,0.00s,182838,s485
s486,2025-08-25 08:17,0.00s,175372,s486
s487,2025-08-25 08:17,0.00s,179287,s487
s488,2025-08-25 08:17,0.00s,93145,s488
s489,2025-08-25 08:17,0.00s,174658,s489
s490,2025-08-25 08:17,0.00s,184727,s490
s491,2025-08-25 08:17,0.00s,183040,s491
s492,2025-08-25 08:17,2.00s,175164,s492
s493,2025-08-25 08:17,1.00s,69143,s493
s494,2025-08-25 08:17,9.00s,170549,s494
s495,2025-08-25 08:17,3.00s,78140,s495
s496,2025-08-25 08:17,0.00s,79282,s496
s497,2025-08-25 08:17,0.00s,74806,s497
s498,2025-08-25 08:17,0.00s,77873,s498
s499,2025-08-25 08:17,0.00s,81164,s499
s500,2025-08-25 08:17,0.00s,77942,s500
s501,2025-08-25 08:17,7.00s,83964,s501
s502,2025-08-25 08:17,3.00s,81241,s502
s503,2025-08-25 08:17,0.00s,159408,s503
s504,2025-08-25 08:17,0.00s,176483,s504
s505,2025-08-25 08:17,0.00s,181207,s505
s506,2025-08-25 08:17,0.00s,176021,s506
s507,2025-08-25 08:17,0.00s,171658,s507
s508,2025-08-25 08:17,0.00s,168958,s508
s509,2025-08-25 08:17,25.00s,174253,s509
s510,2025-08-25 08:17,0.00s,174686,s510
s511,2025-08-25 08:17,0.00s,172788,s511
s512,2025-08-25 08:17,0.00s,181706,s512
s513,2025-08-25 08:17,0.00s,174624,s513
s514,2025-08-25 08:17,0.00s,170475,s514
s515,2025-08-25 08:17,0.00s,174059,s515
s516,2025-08-25 08:17,1.00s,178692,s516
s517,2025-08-25 08:17,16.00s,91823,s517
s518,2025-08-25 08:16,3.00s,80054,s518
s519,2025-08-25 08:16,0.00s,80092,s519
s520,2025-08-25 08:16,0.00s,80130,s520
s521,2025-08-25 08:16,1.00s,79191,s521
s522,2025-08-25 08:16,0.00s,78376,s522
s523,2025-08-25 08:16,0.00s,81050,s523
s524,2025-08-25 08:16,0.00s,78185,s524
s525,2025-08-25 08:16,1.00s,168621,s525
s526,2025-08-25 08:16,2.00s,8305,s526
s527,2025-08-25 08:16,0.00s,74790,s527
s528,2025-08-25 08:16,1.00s,71557,s528
s529,2025-08-25 08:16,0.00s,80150,s529
s530,2025-08-25 08:16,0.00s,16181,s530
s531,2025-08-25 08:16,0.00s,78846,s531
s532,2025-08-25 08:16,0.00s,69285,s532
s533,2025-08-25 08:16,1.00s,79976,s533
s534,2025-08-25 08:16,0.00s,159536,s534
s535,2025-08-25 08:16,0.00s,169738,s535
s536,2025-08-25 08:16,0.00s,172349,s536
s537,2025-08-25 08:16,0.00s,174928,s537
s538,2025-08-25 08:16,0.00s,75594,s538
s539,2025-08-25 08:16,0.00s,172298,s539
s540,2025-08-25 08:16,0.00s,173079,s540
s541,2025-08-25 08:16,2.00s,151003,s541
s542,2025-08-25 08:16,1.00s,38,s542
s543,2025-08-25 08:16,0.00s,2,s543
s544,2025-08-25 08:16,1.00s,3,s544
s545,2025-08-25 08:16,0.00s,29,s545
s546,2025-08-25 08:16,1.00s,27080,s546
s547,2025-08-25 08:16,1.00s,1,s547
s548,2025-08-25 08:16,0.00s,1,s548
s549,2025-08-25 08:16,0.00s,1,s549
s550,2025-08-25 08:16,0.00s,2,s550
s551,2025-08-25 08:16,0.00s,4,s551
s552,2025-08-25 08:16,0.00s,21,s552
s553,2025-08-25 08:16,0.00s,25,s553
